date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-28,3215,158,1340,15018,14450.54
2017-11-29,3270,128,1396,14110,13411.960000000001
2017-11-30,2990,139,1332,15685,13290.25
2017-12-01,2555,103,1255,12505,9687.28
2017-12-02,400,30,285,3310,1443.26
2017-12-03,1942,90,977,8544,6432.9400000000005
2017-12-04,2860,115,1350,12718,13137.5
2017-12-05,2433,165,1193,12583,9467.01
2017-12-06,2454,98,1301,10423,11268.54
2017-12-07,2489,120,1227,11977,10976.6
2017-12-08,1539,118,874,7912,4898.32
2017-12-09,0,0,0,0,0.0
2017-12-10,1776,77,980,8521,4982.87
2017-12-11,4106,112,1589,16997,19866.98
2017-12-12,1990,110,1027,11076,10012.130000000001
2017-12-13,3213,103,1421,14275,15879.66
2017-12-14,1961,158,1066,9485,7701.580000000001
2017-12-15,2048,76,1120,8945,10970.560000000001
2017-12-16,0,0,0,0,0.0
2017-12-17,637,40,468,4013,1964.7900000000002
2017-12-18,644,51,466,3208,2846.58
2017-12-19,1916,66,1030,4345,13350.099999999999
2017-12-20,534,26,375,3014,2268.31
2017-12-21,0,0,0,0,0.0
2017-12-22,0,0,0,0,0.0
2017-12-23,0,0,0,0,0.0
2017-12-24,0,0,0,0,0.0
2017-12-25,0,0,0,0,0.0
2017-12-26,0,0,0,0,0.0
2017-12-27,0,0,0,0,0.0
2017-12-28,0,0,0,0,0.0
2017-12-29,0,0,0,0,0.0
2017-12-30,0,0,0,0,0.0
2017-12-31,0,0,0,0,0.0
2018-01-01,640,42,495,2926,1966.5500000000002
2018-01-02,932,40,631,5574,3061.2700000000004
2018-01-03,293,14,249,1973,965.85
2018-01-04,1061,83,692,8486,3373.1600000000003
2018-01-05,716,47,503,5451,4979.93
2018-01-06,0,0,0,0,0.0
2018-01-07,704,37,489,4702,2080.1000000000004
2018-01-08,2677,63,1073,8640,14429.4
2018-01-09,1086,44,770,5615,3799.58
2018-01-10,1633,53,919,5656,11600.810000000001
2018-01-11,2226,83,1059,9610,12228.63
2018-01-12,658,50,439,4478,2084.96
2018-01-13,0,0,0,0,0.0
2018-01-14,1116,41,684,5700,3438.31
2018-01-15,1904,46,1005,6081,8908.33
2018-01-16,1859,51,1068,8924,7847.691
2018-01-17,1215,71,804,5138,7021.91
2018-01-18,1203,63,760,7255,3854.6
2018-01-19,1494,51,866,8288,9419.02
2018-01-20,0,0,0,0,0.0
2018-01-21,1271,52,706,5892,4022.2299999999996
2018-01-22,1691,64,913,7670,7017.8099999999995
2018-01-23,1555,135,826,7858,15461.130000000001
2018-01-24,1547,72,881,7587,6385.549999999999
2018-01-25,1243,72,743,7751,3804.14
2018-01-26,1200,73,709,6169,23966.840999999997
2018-01-27,0,0,0,0,0.0
2018-01-28,1400,58,796,7490,3953.56
2018-01-29,1392,76,838,6310,7421.111000000001
2018-01-30,1176,59,743,7140,4616.530000000001
2018-01-31,1457,56,860,6996,5971.3910000000005
2018-02-01,1513,66,820,8069,4837.9
2018-02-02,997,67,631,5354,4328.16
2018-02-03,0,0,0,0,0.0
2018-02-04,844,35,558,3803,2310.46
2018-02-05,1365,67,784,6598,6838.370000000001
2018-02-06,1057,57,669,6954,3607.21
2018-02-07,883,37,627,2971,4111.6900000000005
2018-02-08,833,63,518,4691,2901.1500000000005
2018-02-09,787,38,577,3993,3009.9700000000003
2018-02-10,0,0,0,0,0.0
2018-02-11,1194,51,710,6478,3554.9900000000002
2018-02-12,894,50,568,6950,5680.741
2018-02-13,1912,71,1058,9054,8022.73
2018-02-14,1043,57,671,6879,3361.3900000000003
2018-02-15,1388,89,788,8371,5028.67
2018-02-16,1632,62,923,5489,7938.45
2018-02-17,0,0,0,0,0.0
2018-02-18,981,60,616,4351,3367.1310000000003
2018-02-19,1124,54,669,8189,3731.49
2018-02-20,1180,56,738,6470,4217.9400000000005
2018-02-21,1340,73,789,6825,5192.741
2018-02-22,1559,89,869,9499,5217.1
2018-02-23,1013,50,695,4666,7546.431
2018-02-24,0,0,0,0,0.0
2018-02-25,1293,58,739,5616,3960.79
2018-02-26,1195,62,783,6853,4471.6
2018-02-27,1570,88,947,7431,6904.31
2018-02-28,1757,78,1023,10384,6203.96
2018-03-01,1921,91,1002,11591,7608.82
2018-03-02,1263,81,771,6416,5063.210000000001
2018-03-03,0,0,0,0,0.0
2018-03-04,1788,66,1080,8398,6232.91
2018-03-05,1946,83,1050,8818,9686.830000000002
2018-03-06,1228,79,764,6979,6752.679999999999
2018-03-07,1603,81,933,8554,6373.61
2018-03-08,1296,53,842,6489,5420.860000000001
2018-03-09,920,42,651,5294,3744.09
2018-03-10,0,0,0,0,0.0
2018-03-11,669,25,447,2964,1817.5800000000002
2018-03-12,1677,69,968,6992,7573.530999999999
2018-03-13,1394,92,830,7222,5195.9
2018-03-14,1290,53,775,7857,4263.5
2018-03-15,1588,95,846,9827,6450.72
2018-03-16,1398,82,751,7200,48929.07000000001
2018-03-17,0,0,0,0,0.0
2018-03-18,1392,64,799,6922,4007.2200000000003
2018-03-19,1534,86,881,8272,6600.97
2018-03-20,1315,84,751,6541,52515.170000000006
2018-03-21,1589,113,871,8872,9218.69
2018-03-22,1883,97,940,10130,19204.28
2018-03-23,1380,78,883,7701,5331.21
2018-03-24,0,0,0,0,0.0
2018-03-25,1838,60,904,9368,4761.23
2018-03-26,1980,95,1032,9516,8617.0
2018-03-27,1897,105,1010,10047,7485.1500000000015
2018-03-28,1897,86,954,8987,7870.14
2018-03-29,1689,85,905,9367,6704.07
2018-03-30,0,0,0,0,0.0
2018-03-31,0,0,0,0,0.0
2018-04-01,0,0,0,0,0.0
2018-04-02,0,0,0,0,0.0
2018-04-03,1099,60,695,5605,3875.1000000000004
2018-04-04,1379,66,826,7804,4907.67
2018-04-05,2019,92,1020,11098,7273.15
2018-04-06,915,55,597,5408,3490.17
2018-04-07,0,0,0,0,0.0
2018-04-08,1114,44,664,6339,3202.4300000000003
2018-04-09,1009,83,609,6692,3510.4710000000005
2018-04-10,1310,84,754,6699,4270.26
2018-04-11,1126,61,625,7638,3469.88
2018-04-12,1161,88,656,7515,24266.59
2018-04-13,868,47,587,5840,2551.88
2018-04-14,0,0,0,0,0.0
2018-04-15,1457,57,752,6665,5620.139999999999
2018-04-16,3126,81,1253,11861,15653.44
2018-04-17,1538,77,828,8035,13939.59
2018-04-18,1313,74,729,8143,8380.57
2018-04-19,1547,130,812,9949,17109.4
2018-04-20,1151,64,664,6647,5920.150000000001
2018-04-21,0,0,0,0,0.0
2018-04-22,1339,50,731,6233,4403.15
2018-04-23,1945,103,916,9331,9095.380000000001
2018-04-24,1680,100,846,11129,5622.56
2018-04-25,1786,78,905,11301,5885.79
2018-04-26,2054,103,1044,11363,8604.311000000002
2018-04-27,1269,84,746,6598,6546.58
2018-04-28,0,0,0,0,0.0
2018-04-29,845,43,534,4605,2638.04
2018-04-30,0,0,0,0,0.0
2018-05-01,1439,82,818,7429,7857.46
2018-05-02,1585,111,832,7867,7172.6
2018-05-03,2117,114,967,13237,9737.41
2018-05-04,1350,73,807,9433,4199.15
2018-05-05,0,0,0,0,0.0
2018-05-06,1755,64,900,8595,5212.68
2018-05-07,1658,108,935,8974,8630.93
2018-05-08,1676,70,913,10116,6422.700000000001
2018-05-09,1249,71,744,7575,4590.3
2018-05-10,1407,85,776,7706,5524.290000000001
2018-05-11,946,100,587,4709,3864.4900000000007
2018-05-12,0,0,0,0,0.0
2018-05-13,1519,47,832,5825,4613.42
2018-05-14,1414,72,782,7564,5299.49
2018-05-15,1524,83,829,6858,6128.84
2018-05-16,1236,69,716,6126,4618.07
2018-05-17,1624,87,855,9300,6635.79
2018-05-18,1310,73,813,6028,6199.1
2018-05-19,0,0,0,0,0.0
2018-05-20,1346,53,685,7747,4696.01
2018-05-21,1413,79,751,9760,5610.629999999999
2018-05-22,1411,84,769,7936,5393.47
2018-05-23,1834,112,907,9811,13550.43
2018-05-24,2034,97,934,11142,6308.410000000001
2018-05-25,1282,95,739,6846,5601.79
2018-05-26,0,0,0,0,0.0
2018-05-27,804,35,567,3529,2380.03
2018-05-28,0,0,0,0,0.0
2018-05-29,1223,53,763,5734,4233.57
2018-05-30,959,49,674,4324,3650.34
2018-05-31,1720,109,949,8782,7617.39
2018-06-01,1379,54,815,4998,7494.15
2018-06-02,0,0,0,0,0.0
2018-06-03,2220,76,970,10307,7034.34
2018-06-04,2634,114,1167,12418,9485.92
2018-06-05,2070,97,1053,9248,12855.300000000001
2018-06-06,1468,87,788,9053,4691.28
2018-06-07,1069,100,612,6340,4461.0599999999995
2018-06-08,1778,96,925,10061,15010.590000000004
2018-06-09,0,0,0,0,0.0
2018-06-10,1474,78,839,7312,4799.02
2018-06-11,1654,72,951,8111,5801.65
2018-06-12,1558,70,876,8950,7537.26
2018-06-13,1842,92,961,10397,6217.8099999999995
2018-06-14,1793,97,858,9439,73706.43000000001
2018-06-15,968,60,605,5463,4063.1099999999997
2018-06-16,0,0,0,0,0.0
2018-06-17,440,27,333,2137,1583.92
2018-06-18,1775,45,1000,8403,5783.59
2018-06-19,1005,46,669,5110,4287.58
2018-06-20,1220,69,764,7180,4546.450000000001
2018-06-21,1553,109,765,7763,9860.83
2018-06-22,1200,47,787,5850,5624.179999999999
2018-06-23,0,0,0,0,0.0
2018-06-24,1283,62,757,5699,4149.530000000001
2018-06-25,1869,79,926,11107,6630.230000000001
2018-06-26,1608,79,862,9888,6192.41
2018-06-27,1931,135,957,10769,7551.75
2018-06-28,1856,97,915,11483,6380.66
2018-06-29,1058,57,640,6394,3350.3900000000003
2018-06-30,0,0,0,0,0.0
2018-07-01,680,22,463,2640,2285.55
2018-07-02,1935,109,807,11290,6534.12
2018-07-03,1108,63,684,5991,4606.76
2018-07-04,1736,86,918,8726,10098.82
2018-07-05,1332,84,779,7904,6413.42
2018-07-06,905,43,608,4534,3934.59
2018-07-07,0,0,0,0,0.0
2018-07-08,708,29,497,2533,2040.46
2018-07-09,1207,57,734,5818,5502.5
2018-07-10,1152,61,747,5493,4796.42
2018-07-11,1440,106,849,7428,6732.91
2018-07-12,1581,89,841,9518,10515.910000000002
2018-07-13,1197,102,756,7440,4453.45
2018-07-14,0,0,0,0,0.0
2018-07-15,909,43,597,4949,3065.76
2018-07-16,1444,65,785,8895,5328.85
2018-07-17,1180,61,670,7129,4311.51
2018-07-18,1281,84,755,7304,5829.62
2018-07-19,1604,91,817,7578,7401.6900000000005
2018-07-20,1056,55,671,6382,3531.51
2018-07-21,0,0,0,0,0.0
2018-07-22,1277,59,746,7220,4091.48
2018-07-23,1539,76,827,8852,7229.92
2018-07-24,1045,82,668,6571,3685.8
2018-07-25,1343,85,728,8546,4231.18
2018-07-26,1901,97,910,8653,15094.71
2018-07-27,763,70,517,4630,3234.7
2018-07-28,0,0,0,0,0.0
2018-07-29,886,39,583,4113,2734.49
2018-07-30,1155,70,693,6982,6506.47
2018-07-31,1537,82,871,7343,8217.92
2018-08-01,1405,64,856,7879,6210.34
2018-08-02,1356,64,755,7909,3759.74
2018-08-03,578,56,419,4425,1965.35
2018-08-04,0,0,0,0,0.0
2018-08-05,910,47,570,4662,2565.3199999999997
2018-08-06,918,64,629,6409,2723.68
2018-08-07,1779,56,951,7400,7888.82
2018-08-08,1029,53,645,4869,9440.530000000002
2018-08-09,1819,117,917,9675,8283.8
2018-08-10,1486,67,773,8175,6050.4
2018-08-11,0,0,0,0,0.0
2018-08-12,1088,64,623,6540,3345.88
2018-08-13,1025,50,685,6129,4089.5499999999997
2018-08-14,981,65,642,6939,3225.51
2018-08-15,1626,60,958,8973,5349.29
2018-08-16,1536,84,803,8869,5694.87
2018-08-17,1297,66,803,7976,4733.0599999999995
2018-08-18,0,0,0,0,0.0
2018-08-19,1382,64,780,8686,4035.42
2018-08-20,1185,60,727,7903,3577.17
2018-08-21,1165,73,703,7953,3730.9599999999996
2018-08-22,1639,91,865,10019,6431.42
2018-08-23,1671,90,847,9849,7405.08
2018-08-24,1003,40,677,5122,26783.25
2018-08-25,0,0,0,0,0.0
2018-08-26,812,40,484,5043,2302.29
2018-08-27,0,0,0,0,0.0
2018-08-28,1778,72,944,8752,10727.48
2018-08-29,1054,82,679,5326,4254.25
2018-08-30,1644,99,863,9993,7891.42
2018-08-31,1066,74,665,5974,4140.12
2018-09-01,0,0,0,0,0.0
2018-09-02,813,36,515,4623,2299.51
2018-09-03,1580,61,865,7832,6506.75
2018-09-04,1145,55,721,6775,3955.71
2018-09-05,1091,53,695,6622,3894.24
2018-09-06,1643,89,878,9572,7377.54
2018-09-07,1027,50,632,5902,3854.04
2018-09-08,0,0,0,0,0.0
2018-09-09,1326,49,729,6447,3877.1
2018-09-10,1997,107,998,9725,7963.96
2018-09-11,1294,67,767,7604,4187.84
2018-09-12,1401,74,818,9361,4376.070000000001
2018-09-13,1674,98,915,9766,31232.641
2018-09-14,1160,80,745,6847,4675.4
2018-09-15,0,0,0,0,0.0
2018-09-16,1980,60,985,9155,5047.820000000001
2018-09-17,1840,100,972,10813,9563.25
2018-09-18,2467,136,1040,16921,7600.64
2018-09-19,1474,86,689,8920,5626.12
2018-09-20,2000,90,942,13315,5875.570000000001
2018-09-21,1562,75,813,9827,9696.490000000002
2018-09-22,0,0,0,0,0.0
2018-09-23,1475,76,757,8448,4287.5
2018-09-24,2315,110,1018,15345,39705.11
2018-09-25,2853,171,1250,16524,10607.97
2018-09-26,1897,115,975,12810,7832.080000000001
2018-09-27,2143,117,988,14825,17434.08
2018-09-28,1725,88,927,9701,7647.0
2018-09-29,0,0,0,0,0.0
2018-09-30,2297,90,972,13041,7376.55
2018-10-01,2114,97,1008,13655,7418.0
2018-10-02,2750,184,1176,18214,67819.4
2018-10-03,1302,71,742,9973,4364.98
2018-10-04,3652,157,1383,18559,14566.070000000002
2018-10-05,2031,99,1010,11980,7518.51
2018-10-06,0,0,0,0,0.0
2018-10-07,1724,71,897,8924,5314.59
2018-10-08,2495,110,1140,14315,7716.0
2018-10-09,2480,142,1148,15158,8394.68
2018-10-10,2199,101,1043,13367,15595.720000000001
2018-10-11,2071,116,1022,14488,7222.560000000001
2018-10-12,2309,131,1084,13292,28981.030000000002
2018-10-13,0,0,0,0,0.0
2018-10-14,2745,80,1124,12913,7633.47
2018-10-15,2811,141,1210,12665,11625.59
2018-10-16,2295,96,1098,12294,8918.39
2018-10-17,2461,121,1081,13252,9550.900000000001
2018-10-18,2179,118,1075,12230,8692.369999999999
2018-10-19,2245,123,1118,10936,11389.84
2018-10-20,0,0,0,0,0.0
2018-10-21,2393,86,1047,11303,7007.84
2018-10-22,1927,93,1011,9915,6069.950000000001
2018-10-23,2544,129,1163,14979,8178.969999999999
2018-10-24,1833,76,963,10343,6331.07
2018-10-25,1618,82,892,8296,15121.560000000001
2018-10-26,1948,87,973,11851,6943.36
2018-10-27,0,0,0,0,0.0
2018-10-28,2690,88,1150,12139,7500.8099999999995
2018-10-29,2203,75,1132,9614,12516.25
2018-10-30,2316,127,1075,12821,8465.98
2018-10-31,2069,106,1037,11136,7428.76
2018-11-01,3703,174,1375,19254,13655.83
2018-11-02,1956,95,1045,11111,7725.260000000001
2018-11-03,0,0,0,0,0.0
2018-11-04,2824,90,1107,13919,7681.84
2018-11-05,2613,99,1219,13482,23464.650999999998
2018-11-06,2913,148,1116,16646,12092.14
2018-11-07,3639,151,1485,17100,12876.59
2018-11-08,3295,184,1297,16813,12538.210000000001
2018-11-09,3063,119,1280,13762,12653.73
2018-11-10,0,0,0,0,0.0
2018-11-11,2913,94,1227,11271,8442.900000000001
2018-11-12,3754,115,1417,16502,14324.61
2018-11-13,3356,149,1375,19125,12268.279999999999
2018-11-14,2863,133,1273,14785,10901.541000000001
2018-11-15,2907,120,1216,14057,10845.24
2018-11-16,2589,145,1142,13556,9973.5
2018-11-17,0,0,0,0,0.0
2018-11-18,3258,102,1287,14244,8909.71
2018-11-19,3271,103,1340,13768,12726.67
2018-11-20,3628,151,1427,18247,13975.7
2018-11-21,3443,186,1359,15144,14168.15
2018-11-22,3520,179,1245,18898,11789.710000000001
2018-11-23,2600,92,1165,13165,10312.59
2018-11-24,0,0,0,0,0.0
2018-11-25,2609,104,1135,10132,7830.08
2018-11-26,3941,115,1529,18194,16431.74
2018-11-27,2412,167,976,15129,7914.200000000001
2018-11-28,6196,133,1343,27721,25808.5
2018-11-29,4214,165,934,26303,13631.36
2018-11-30,4338,75,1138,18780,22228.18
2018-12-01,0,0,0,0,0.0
2018-12-02,5448,95,1151,22363,15786.34
2018-12-03,7730,120,1473,29252,35357.56
2018-12-04,5792,102,1283,23150,170304.18
2018-12-05,5276,139,1221,27603,19956.120000000003
2018-12-06,5696,141,1274,24773,29325.260000000002
2018-12-07,2751,84,1267,11680,12825.06
2018-12-08,0,0,0,0,0.0
2018-12-09,1451,51,801,5595,3966.23
2018-12-10,2283,84,1172,10737,12388.27
2018-12-11,2081,141,1028,11324,8257.36
2018-12-12,1348,97,772,8509,4819.31
2018-12-13,1789,150,936,12552,5954.72
2018-12-14,3114,71,1371,10237,18131.21
2018-12-15,0,0,0,0,0.0
2018-12-16,522,25,392,2542,1640.19
2018-12-17,1755,88,951,7244,8081.79
2018-12-18,1580,65,832,5269,12393.34
2018-12-19,227,22,196,1702,1962.44
2018-12-20,962,37,794,4193,3902.1800000000003
2018-12-21,0,0,0,0,0.0
2018-12-22,0,0,0,0,0.0
2018-12-23,0,0,0,0,0.0
2018-12-24,0,0,0,0,0.0
2018-12-25,0,0,0,0,0.0
2018-12-26,0,0,0,0,0.0
2018-12-27,0,0,0,0,0.0
2018-12-28,0,0,0,0,0.0
2018-12-29,0,0,0,0,0.0
2018-12-30,0,0,0,0,0.0
2018-12-31,0,0,0,0,0.0
2019-01-01,1170,43,824,5561,4326.02
2019-01-02,1739,72,1023,8445,39220.590000000004
2019-01-03,1826,76,1019,10202,7950.660000000001
2019-01-04,1794,58,1035,10141,5871.85
2019-01-05,0,0,0,0,0.0
2019-01-06,1117,51,651,5896,3544.55
2019-01-07,1959,44,1100,8979,7827.629999999999
2019-01-08,1443,78,953,7895,5225.150000000001
2019-01-09,1806,59,1083,7746,7600.880000000001
2019-01-10,1443,50,953,6856,5666.02
2019-01-11,1510,56,907,8199,6553.24
2019-01-12,0,0,0,0,0.0
2019-01-13,646,29,424,2583,1854.5
2019-01-14,2557,55,1214,10421,9782.3
2019-01-15,1445,49,899,5170,6445.36
2019-01-16,1413,40,953,7422,4739.15
2019-01-17,1499,51,960,6828,8156.26
2019-01-18,1592,62,988,7693,6757.13
2019-01-19,0,0,0,0,0.0
2019-01-20,879,30,573,3605,2611.96
2019-01-21,1483,59,847,7435,6682.3099999999995
2019-01-22,1654,86,893,9179,6644.02
2019-01-23,1287,69,774,6789,5233.1900000000005
2019-01-24,1557,70,882,8808,7552.5
2019-01-25,957,49,613,5558,3995.68
2019-01-26,0,0,0,0,0.0
2019-01-27,722,25,488,2934,2321.7200000000003
2019-01-28,1509,85,848,7333,6190.13
2019-01-29,1565,77,845,8335,5561.46
2019-01-30,1407,70,799,6716,5978.85
2019-01-31,987,51,602,5579,3817.55
2019-02-01,1215,58,746,6073,6316.530000000001
2019-02-02,0,0,0,0,0.0
2019-02-03,279,11,220,1209,799.45
2019-02-04,1259,51,810,5779,5356.04
2019-02-05,1222,52,767,5464,5592.59
2019-02-06,877,29,602,4137,4453.15
2019-02-07,783,64,531,4660,3462.46
2019-02-08,951,89,662,5050,5587.9400000000005
2019-02-09,0,0,0,0,0.0
2019-02-10,624,24,430,2154,1859.3600000000001
2019-02-11,1107,54,721,6218,4374.6900000000005
2019-02-12,1331,66,815,7556,7385.13
2019-02-13,1191,69,699,8118,3905.5200000000004
2019-02-14,1718,72,878,8493,7810.660000000001
2019-02-15,845,58,608,5201,3084.8499999999995
2019-02-16,0,0,0,0,0.0
2019-02-17,864,29,595,3472,2721.29
2019-02-18,1423,57,817,8125,17596.67
2019-02-19,1592,63,900,8611,5573.040000000001
2019-02-20,1577,67,861,8019,7190.039999999999
2019-02-21,1292,64,783,8102,5068.53
2019-02-22,978,51,596,7219,3507.94
2019-02-23,0,0,0,0,0.0
2019-02-24,812,35,566,3619,2449.63
2019-02-25,1681,58,906,7215,7995.4
2019-02-26,1360,66,845,8007,7259.88
2019-02-27,933,65,548,6053,3467.06
2019-02-28,1373,69,801,7518,5659.09
2019-03-01,1102,51,718,6452,3255.5
2019-03-02,0,0,0,0,0.0
2019-03-03,844,35,520,3385,2845.04
2019-03-04,1969,105,1058,7870,10757.98
2019-03-05,1590,51,884,8889,5333.13
2019-03-06,1257,59,763,7105,4801.92
2019-03-07,1125,84,673,7121,3723.8999999999996
2019-03-08,952,61,610,5816,10475.690000000002
2019-03-09,0,0,0,0,0.0
2019-03-10,537,17,419,2014,1374.63
2019-03-11,1110,60,688,6143,3851.69
2019-03-12,1288,61,726,6917,11141.28
2019-03-13,873,58,587,5764,3178.31
2019-03-14,2074,88,1081,9453,8655.669999999998
2019-03-15,1349,76,773,7170,17046.97
2019-03-16,0,0,0,0,0.0
2019-03-17,1453,64,864,7791,5053.790000000001
2019-03-18,1068,69,637,6735,2938.76
2019-03-19,2358,58,1142,9756,10389.57
2019-03-20,1298,68,775,7419,4778.02
2019-03-21,1559,77,783,9059,4687.929999999999
2019-03-22,1384,65,823,6950,5604.1
2019-03-23,0,0,0,0,0.0
2019-03-24,737,46,515,3193,2176.4
2019-03-25,1659,72,900,8511,9699.41
2019-03-26,1958,70,973,11354,9098.14
2019-03-27,1561,90,881,9351,5140.84
2019-03-28,1731,87,888,8874,9091.810000000001
2019-03-29,1241,87,755,7425,4684.35
2019-03-30,0,0,0,0,0.0
2019-03-31,731,22,526,2723,1788.1599999999999
2019-04-01,1698,75,915,8154,18797.459999999995
2019-04-02,1185,66,723,6965,6221.75
2019-04-03,1078,46,716,5677,3770.2599999999998
2019-04-04,1520,74,838,7097,4707.59
2019-04-05,1386,81,832,8525,9002.98
2019-04-06,0,0,0,0,0.0
2019-04-07,940,37,637,3996,3110.41
2019-04-08,1258,73,777,8765,3611.4300000000003
2019-04-09,1149,78,665,8361,3700.6899999999996
2019-04-10,1048,75,674,7478,3022.2799999999997
2019-04-11,1605,107,784,10989,5481.55
2019-04-12,1483,57,719,6927,8714.421
2019-04-13,0,0,0,0,0.0
2019-04-14,968,44,620,5480,2774.5699999999997
2019-04-15,3205,93,1286,10617,12345.27
2019-04-16,1887,75,991,9133,7149.879999999999
2019-04-17,1015,79,594,7655,3238.3900000000003
2019-04-18,1904,86,943,9592,9542.42
2019-04-19,0,0,0,0,0.0
2019-04-20,0,0,0,0,0.0
2019-04-21,0,0,0,0,0.0
2019-04-22,0,0,0,0,0.0
2019-04-23,1899,82,932,9264,8523.900000000001
2019-04-24,1292,77,795,7735,4271.07
2019-04-25,1163,72,729,7814,4706.13
2019-04-26,0,0,0,0,0.0
2019-04-27,0,0,0,0,0.0
2019-04-28,452,21,361,2571,1298.41
2019-04-29,0,0,0,0,0.0
2019-04-30,1407,84,758,7344,28575.589999999997
2019-05-01,1158,74,700,7850,3593.41
2019-05-02,1835,107,914,10036,6246.54
2019-05-03,2025,92,1026,10605,7276.01
2019-05-04,0,0,0,0,0.0
2019-05-05,1506,67,742,7610,4316.8
2019-05-06,1763,81,864,9410,8745.48
2019-05-07,2585,115,941,11691,15484.55
2019-05-08,1696,92,844,10256,5969.6
2019-05-09,1963,105,960,12551,8547.73
2019-05-10,1422,74,781,8665,4957.360000000001
2019-05-11,0,0,0,0,0.0
2019-05-12,809,31,575,3552,2277.3599999999997
2019-05-13,1600,78,795,9472,20897.62
2019-05-14,1857,117,891,10893,10116.7
2019-05-15,1357,80,722,8793,5320.06
2019-05-16,1944,119,899,11828,7760.89
2019-05-17,1122,84,611,8092,3970.24
2019-05-18,0,0,0,0,0.0
2019-05-19,1564,62,881,9437,4596.72
2019-05-20,1624,100,835,8545,12608.92
2019-05-21,1744,95,932,8512,7291.14
2019-05-22,1307,76,706,7199,4553.6900000000005
2019-05-23,967,74,554,6190,4279.93
2019-05-24,1165,80,656,6654,5204.24
2019-05-25,0,0,0,0,0.0
2019-05-26,632,25,443,2633,1716.09
2019-05-27,0,0,0,0,0.0
2019-05-28,1281,62,743,6671,5080.38
2019-05-29,1456,65,826,5626,5831.2
2019-05-30,1578,76,873,7843,7065.0599999999995
2019-05-31,854,49,561,4774,3258.41
2019-06-01,0,0,0,0,0.0
2019-06-02,1561,70,758,9016,4963.0
2019-06-03,1229,73,748,7083,4730.5
2019-06-04,1921,93,995,9917,6788.25
2019-06-05,2319,105,1045,12274,10794.619999999999
2019-06-06,1838,98,998,11087,7678.74
2019-06-07,1038,63,646,5765,44471.119999999995
2019-06-08,0,0,0,0,0.0
2019-06-09,1075,40,649,4786,3058.84
2019-06-10,1472,87,846,8056,6006.17
2019-06-11,1584,63,879,7099,6435.36
2019-06-12,1703,76,914,8928,7495.179999999999
2019-06-13,1523,96,863,9670,5497.96
2019-06-14,958,59,583,6645,3116.09
2019-06-15,0,0,0,0,0.0
2019-06-16,1167,64,724,6987,3447.6600000000003
2019-06-17,2014,96,1007,9421,15143.189999999999
2019-06-18,1533,80,870,7339,6712.1900000000005
2019-06-19,1013,64,648,7134,3593.78
2019-06-20,1970,87,968,10507,6436.83
2019-06-21,1036,60,649,6399,15250.809999999998
2019-06-22,0,0,0,0,0.0
2019-06-23,708,36,557,2750,2594.11
2019-06-24,1179,58,721,5141,4679.18
2019-06-25,992,68,615,6698,5266.54
2019-06-26,1348,57,989,6397,4903.17
2019-06-27,1619,79,943,9435,5499.380000000001
2019-06-28,1017,60,598,5462,3570.5999999999995
2019-06-29,0,0,0,0,0.0
2019-06-30,602,27,423,2534,1793.9799999999998
2019-07-01,2198,62,1104,9261,9378.84
2019-07-02,2198,84,1153,10139,9444.64
2019-07-03,1815,76,1004,9250,5157.59
2019-07-04,1935,90,1059,10550,6634.44
2019-07-05,1614,77,917,8078,7447.0
2019-07-06,0,0,0,0,0.0
2019-07-07,820,29,604,2840,1976.14
2019-07-08,1511,64,932,8221,4452.78
2019-07-09,1665,64,983,7310,6601.019999999999
2019-07-10,1618,66,948,8305,15986.320000000002
2019-07-11,1728,85,976,9819,5626.65
2019-07-12,1125,51,842,4856,4796.17
2019-07-13,0,0,0,0,0.0
2019-07-14,1248,53,750,6293,3337.94
2019-07-15,2211,86,1189,10002,27456.49
2019-07-16,1663,84,859,11854,5378.42
2019-07-17,2010,70,1055,9620,10977.659999999998
2019-07-18,1563,99,912,10801,6732.0599999999995
2019-07-19,1296,53,883,6887,4170.48
2019-07-20,0,0,0,0,0.0
2019-07-21,1125,63,654,7177,3185.75
2019-07-22,1941,65,1021,9326,7902.719999999999
2019-07-23,1260,71,778,7538,4167.231
2019-07-24,1224,51,749,7340,3926.12
2019-07-25,1543,104,869,10334,5023.55
2019-07-26,1129,68,688,7544,3631.94
2019-07-27,0,0,0,0,0.0
2019-07-28,1271,43,789,7004,3150.2599999999998
2019-07-29,1193,45,764,7011,4374.54
2019-07-30,1369,61,862,8492,16374.760000000002
